ticker,cik
META,0001326801
PAVS,0001751876
HAUZ,0001503123
LUNA,0001239819
AOA,0001100663
FNOV,0001667919
AI,0001577526
EDBLW,0001809750
PFLD,0001753220
SANG,0001753368
GAMCW,0001841125
AULTpD,0000896493
XOMA,0000791908
YYY,0001633061
PLRX,0001746473
RS,0000861884
FFLS,None
RPM,0000110621
PFTAW,0001853580
GBLD,0001696209
UPC,0001809616
AGOX,None
TIPX,0001064642
AIMDW,0001014763
GILT,0000897322
FLIN,0001655589
ALpA,0001487712
BSY,0001031308
BOAT,None
AMED,0000896262
SQEW,0001552947
AAA,0001776878
EQ,0001746466
STRC,0001826681
ETW,0001322435
AFYA,0001771007
PEXL,0001616668
UNIT,0001620280
DFAI,0001816125
RSSS,0001386301
BLACR,0001840425
DUNE,0001817232
VOX,0000052848
DGP,0001159508
MORF,0001679363
FLBR,0001655589
HSCSW,0001468492
NCV,0001214935
PHIN,0001968915
PSApQ,0001393311
VTEX,0001793663
PCGpA,0001004980
CEV,0001074692
NVTS,0001821769
BAER,0001941536
MOTI,0001137360
MILN,0001432353
BCAB,0001826892
PRIFpH,0001554625
VNOpL,0000899689
ECBK,0001914605
ASEA,0001432353
FRDM,None
JHPI,None
ROKU,0001428439
MGIC,0000876779
GSMG,0001738758
BLEUW,0001843370
DEI,0001364250
ATAKR,0001883788
QDPL,0001616668
IVES,None
ETNB,0001785173
OPINL,0001456772
CHEK,0001610590
IBTI,0001100663
HYT,0001222401
EFHTW,0001922858
PRTS,0001378950
PALT,0001355839
NOCT,0001415726
IWIN,0001633061
ATMP,0000312070
FIXT,None
CVII.U,0001828248
FLJH,0001655589
SBH,0001368458
LOCC,0001848323
NCZpA,0001227857
EMLDU,0001889123
CUBIpE,0001488813
GRND,0001820144
OMIC,0001850906
AEF,0000846676
BKR,0001701605
HIYS,0001599511
RSKD,0001851112
TUYA,0001829118
ESGN,0001551950
HYLN,0001759631
BURL,0001579298
XBIL,None
CZWI,0001367859
ASYS,0000720500
JAQCU,0001817868
EMTY,0001174610
DMO,0001478102
MBB,0001100663
VTR,0000740260
ELC,0001348952
SNCY,0001743907
BOH,0000046195
VTIP,0000836906
VNQI,0000857489
TEAF,0001704299
XSOE,0001350487
AAON,0000824142
LOCL,0001840780
CFO,0001547580
IGTAR,0001866838
ROOT,0001788882
ORI,0000074260
NBSE,0001173281
LCLG,None
ITEQ,None
RMCF,0001616262
DGIN,0001137360
CIZN,0001075706
TWLVW,0001819498
GTAC,0001848821
MIDD,0000769520
SWAGW,0001872525
MLNK,0001834494
VRTV,0001599489
CCNEP,0000736772
JG,0001737339
GGRW,None
PBT,0000319654
CBL,0000910612
NSpB,0001110805
TOI,0001799191
CACG,None
LKCO,0001487839
TECTP,None
HYZNW,0001716583
EVUS,0001100663
WOOD,0001100663
HSCS,0001468492
HYS,0001450011
OCEA,0001869974
REIT,0001414040
ACGLN,0000947484
AFMD,0001608390
IVLU,0001100663
NULG,0001635073
ALG,0000897077
TTEK,0000831641
KSA,0001100663
SYFpA,0001601712
ESHY,0001503123
NEEpR,0000753308
XC,None
ENJ,0000071508
ABRpF,0001253986
RFCI,0001414040
CBRL,0001067294
DXpC,0000826675
BWAQU,0001878074
XOM,0000034088
APT,0000884269
SPXE,0001174610
MAKX,0001174610
RPHM,0001637715
IXUS,0001100663
RECS,0001551950
BHG,0001671284
TTAI,None
XHYH,None
CRKN,0001761696
OMQS,0000278165
RENW,None
UNB,0000706863
TBLT,0001668370
DRQ,0001042893
SMDV,0001174610
GLOGpA,0001534126
IDVO,0001633061
BIP,0001406234
LVHD,0001645194
REKR,0001697851
CODX,0001692415
PGSS,0001861541
AESR,0001552947
FBZ,0001510337
FLTB,0001562565
TPHD,None
MMSI,0000856982
FMHI,0001424212
GATEU,0001838513
XYLD,0001432353
ESACW,0001865506
GATX,0000040211
SCHE,0001454889
ARTNA,0000863110
UCL,0001775898
NUVL,0001861560
AJXA,0001614806
NVDY,None
VSACW,0001883983
SMBK,0001038773
BSJU,0001657201
JFBRW,0001885408
TGVCW,0001865191
BMAR,0001415726
CADL,0001841387
FRME,0000712534
DLN,0001350487
ENVA,0001529864
EWK,0000930667
FRLA,0001849294
JUCY,0001539639
TKLF,0001836242
BCSAU,0001873441
JUNT,None
CNQ,0001017413
IGIB,0001100663
VCLT,0001021249
LEU,0001065059
NEU,0001282637
AFAR,0001901886
GDVpK,0001260729
SONX,0001407973
ONYX,0001849548
SGII,0001869824
EZU,0001100663
ICAP,None
RAD,0000084129
VCSA,0001874944
AEHR,0001040470
OVV,0001792580
JANW,None
SMB,0001137360
BAK,0001071438
PENN,0000921738
WISA,0001682149
EDC,None
ITAN,None
JEMA,0001485894
CRC,0001609253
WWACU,0001853044
CHKEL,0000895126
CAPR,0001133869
AQUNR,0001861063
DMYY,0001915380
SVII,0001843477
DJAN,0001667919
HRL,0000048465
URTY,0001174610
WRBpE,0000011544
ILMN,0001110803
CNOpA,0001224608
TPMN,None
LPX,0000060519
WPS,0001100663
ACAH,0001836274
FEBZ,0001776878
USIG,0001100663
VPC,0001559109
SPCE,0001706946
FpD,0000037996
BLZE,0001462056
AEO,0000919012
AFLG,0001667919
MAXI,0001810747
FLAX,0001655589
CHIK,0001432353
LMNR,0001342423
GJH,0001286405
APLY,None
SDVY,0001552740
FLMB,0001655589
RCRT,0001462223
LNG,0000003570
NRDY.WS,0001819404
XEMD,None
PHYT.U,0001848756
MSVX,0001753220
NEOV,0001748137
FRZA,0001901305
BKSE,None
DINO,0001915657
BKCC,0001326003
KYCHU,0001865701
IGHG,0001174610
YUM,0001041061
NOK,0000924613
PCM,0000908187
TPET,0001898766
QQQE,0001424958
UMDD,0001174610
ASTSW,0001780312
AC,0001642122
IHI,0001100663
FBRTpE,0001562528
CNFRL,0001502292
RSPN,None
COWZ,0001616668
RAYE,None
PNM,0001108426
KEMX,0001547576
CSHI,None
GSM,0001639877
MIN,0000826735
CORT,0001088856
AVRE,0001481714
SVFD,0001789192
SBIO,0001414040
SURI,0001810747
TTAC,None
DIST,0001818605
QTR,None
BWA,0000908255
PRIFpF,0001554625
MTEKW,0001872964
IYG,0001100663
S,0001583708
IX,0001070304
DAT,0001174610
SQQQ,0001174610
SFLR,0001415726
CRAK,0001137360
LTPZ,0001450011
INDS,0001616668
WNW,0001787803
HHGCR,0001822886
NKLA,0001731289
RJFpB,0000720005
ERY,None
RSPG,None
IVRpC,0001437071
TLTW,0001100663
HELE,0000916789
TPLE,None
BTEK,0001761055
RINF,0001174610
GSD,0001843248
VWID,0001559109
FDIG,0000945908
PATI,0001616741
PJFV,0001727074
ERET,0001100663
PTIX,0001022899
PGX,0001378872
ESGLW,0001957538
RWT,0000930236
MUB,0001100663
NVEC,0000724910
AMRX,0001723128
EQAL,0001378872
IGF,0000930667
WYY,0001034760
AIG,0000005272
GAMR,None
MEME,0001776878
